x,y,for_cover_km2
4430349.2981,2704313.2586,7.214
4430349.2981,2699313.2586,2.587
4430349.2981,2694313.2586,9.422
4430349.2981,2689313.2586,9.691
4430349.2981,2684313.2586,22.113
4430349.2981,2679313.2586,17.411
4430349.2981,2674313.2586,17.579
4430349.2981,2669313.2586,19.644
4430349.2981,2664313.2586,19.282
4430349.2981,2659313.2586,14.208
4430349.2981,2654313.2586,0.143
4435349.2981,2714313.2586,11.604
4435349.2981,2709313.2586,17.933
4435349.2981,2704313.2586,8.604
4435349.2981,2699313.2586,3.337
4435349.2981,2694313.2586,14.857
4435349.2981,2689313.2586,14.604
4435349.2981,2684313.2586,21.877
4435349.2981,2679313.2586,3.86
4435349.2981,2674313.2586,8.579
4435349.2981,2669313.2586,11.09
4435349.2981,2664313.2586,19.408
4435349.2981,2659313.2586,11.52
4435349.2981,2654313.2586,0
4440349.2981,2724313.2586,3.961
4440349.2981,2719313.2586,15.287
4440349.2981,2714313.2586,17.006
4440349.2981,2709313.2586,14.419
4440349.2981,2704313.2586,8.882
4440349.2981,2699313.2586,4.23
4440349.2981,2694313.2586,17.048
4440349.2981,2689313.2586,17.756
4440349.2981,2684313.2586,19.458
4440349.2981,2679313.2586,7.138
4440349.2981,2674313.2586,1.348
4440349.2981,2669313.2586,7.618
4440349.2981,2664313.2586,5.604
4440349.2981,2659313.2586,2.317
4445349.2981,2724313.2586,6.489
4445349.2981,2719313.2586,22.779
4445349.2981,2714313.2586,17.933
4445349.2981,2709313.2586,13.795
4445349.2981,2704313.2586,15.228
4445349.2981,2699313.2586,17.579
4445349.2981,2694313.2586,12.978
4445349.2981,2689313.2586,20.461
4445349.2981,2684313.2586,10.829
4445349.2981,2679313.2586,3.051
4445349.2981,2674313.2586,3.818
4445349.2981,2669313.2586,4.087
4445349.2981,2664313.2586,0.067
4445349.2981,2659313.2586,0.531
4450349.2981,2724313.2586,6.717
4450349.2981,2719313.2586,22.897
4450349.2981,2714313.2586,21.97
4450349.2981,2709313.2586,15.464
4450349.2981,2704313.2586,18.902
4450349.2981,2699313.2586,14.697
4450349.2981,2694313.2586,17.267
4450349.2981,2689313.2586,12.262
4450349.2981,2684313.2586,3.11
4450349.2981,2679313.2586,4.003
4450349.2981,2674313.2586,13.509
4450349.2981,2669313.2586,2.056
4450349.2981,2664313.2586,12.354
4450349.2981,2659313.2586,1.239
4450349.2981,2654313.2586,0
4455349.2981,2724313.2586,6.708
4455349.2981,2719313.2586,19.003
4455349.2981,2714313.2586,22.905
4455349.2981,2709313.2586,13.323
4455349.2981,2704313.2586,14.647
4455349.2981,2699313.2586,20.276
